company,event_date,collected_at,event_type,risk_category,severity,confidence_score,matched_keywords,signal_type,rule_signal_type,final_signal_type,ml_signal_type,ml_confidence,description,source_url,source,ai_summary,ai_explanation
Ambipar,2025-12-18 08:00:00,2026-05-10T03:31:14.649865,news_signal,CREDIT_LIQUIDITY,4,0.7999999999999999,"creditor, creditors",RISK_SIGNAL,RISK_SIGNAL,RISK_SIGNAL,RISK_SIGNAL,0.41,Ambipar creditors warn of conflict between U.S. and Brazil court cases - Valor International,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQdVRqTEEzNGNxLXEtSEVIT2NBX0ZKNmVpVTlwSjhQM2NwQ1A0SXFQVkw2a0JubGhyZl8wNi1ZcjI0bzRrNXdHSWJGdWpyczNnRnlIRHhzVmdnVFdoRGtWTUN0Q2tBaTRVQ2xyTlFWa0Z3Q0FPQnhZdEZVSUp6Q2VKdHZQalM0c1BTZ1dLcVlYUEZaNWFsVGNqNE1rbVI5ZXptQ1o0ei14aHlTUUNBeVJJRk1iX1AwTjN0ZlBQeWVuVEJHT1hkenB2N3drNm5VMDZJeVHSAeABQVVfeXFMT2VNamNZRVhybFMxRlZpdHVIdGtGaUIzeVRQbnZVWUNQSWhFUEdkS0xZRnlRUllnbXB2NXV5Y2VyMWI0Q1dlZGllYy1vR040dXgzSHVCX0QtaWNlNGJpYUphc1oyVUVkSTYxQ3JHQkRTXzhTRUp3Y1RTT1d0VkZvM2theVhIemdDbklkX3o0YnVrNDNFa0dlb0hvLVU2QTlUWFJXRTRZdXVxTjRNZkNrM2t5RlB0MGpqUDA5dDRBRlI5YkxoVWw5cEJSbndibmxjZTcxUzY3SlJwdnZ1WThfTXk?oc=5,Google News RSS,Ambipar creditors are warning of potential conflict between court cases in the US and Brazil regarding the company's financial issues.,"This news could represent a corporate risk for several reasons:

1. **Cross-border litigation**: The fact that there are multiple court cases involving Ambipar creditors, one in the US and another in Brazil, suggests that the company may be facing complex and potentially conflicting legal challenges. This can increase the risk of costly and time-consuming disputes, which could impact the company's finances and reputation.
2. **Litigation costs**: Cross-border litigation often involves higher costs due to differences in legal systems, language, and jurisdictional requirements. The added complexity of navigating both US and Brazilian laws could lead to increased legal fees, which could be a significant burden for the company.
3. **Reputation risk**: Disputes between creditors can damage a company's reputation, particularly if it is perceived as unfair or biased towards one party over another. This could impact the company's relationships with stakeholders, customers, and investors, ultimately affecting its bottom line.
4. **Financial implications**: The outcome of these court cases could have significant financial implications for Ambipar, including potential losses, debt restructuring, or even bankruptcy. If the company is unable to resolve these disputes efficiently, it may struggle to maintain liquidity or access capital in the future.
5. **Regulatory risks**: Depending on the nature of the disputes, there may be regulatory considerations at play, such as compliance with local laws and regulations. Failure to comply could result in additional fines, penalties, or even suspension of operations.

Overall, this news highlights the potential for Ambipar to face significant corporate risks associated with cross-border litigation, including increased costs, reputational damage, financial implications, and regulatory concerns."
Ambipar,2026-04-28 13:42:00,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.41,Ambipar Participações e Empreendimentos stock (BRAMBPACNOR6): Why environmental services strength - AD HOC NEWS,https://news.google.com/rss/articles/CBMivgFBVV95cUxON2VJZ3JWSHpFLUJMVXR1RDZJb3M1TnkzYXphX0ZaRW1kR1Z1V0tabWx6bFRWMlNGVG9NWnZnWFc3cmxQb2tsaTFGaG9uMGllLWl4Q3U5aXFoMUFWakswQXNCV3VzZkllYWg1NjBrdjRtMTNVUjRzYVlpck1ZLXg4UndKT0p6SnBmOUhrcnVwTTJOYjN1ckxTVGU4ekxLc01TcnlDUDRwMENOY1o3S21fRFFPTVJxdmJhanRRVDNn?oc=5,Google News RSS,,
Ambipar,2025-01-16 08:00:00,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.38,"Brazil’s Ambipar, UAE’s Edge Group partner up - Agência de Notícias Brasil-Árabe - ANBA",https://news.google.com/rss/articles/CBMidEFVX3lxTE1mNUtVLWZLZXhLMDNETTQ2M3pDLUl3SHk1WnF3VHdYUWVYQ3pTVWVlWWJ1ZHRIMDBDakEzQnlJZ01WU2xtTEduS3RISm1sTzVLQTRFX1BaSG16YXhZYTUwWU05ZzR4X3VidmtPMUQ4ZFJpYWEy?oc=5,Google News RSS,,
Ambipar,2026-05-08 20:49:21,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.41,Ambipar Participações e Empreendimentos stock (BRAMBPACNOR6): Environmental services firm trades n - AD HOC NEWS,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQY29pU19mU0JhNHVsNWl4RDFSOVNTWTdnTERZcDY5MS1SOWxGOVZOYUtSN0dPWi0ybnZoQUVWQmlqM18yb2c1NV9rTUdKNDVNdW9qLWtzMDMtUnRGSVlKVWpVR2ljaEh1RlF0ZjVFM2Y3enNtenFiRld4ZjBleW1EeFo0WUFpMG1WNjhOYmVaTnR1NDRQRVJjdXdmX2VLVDJHN2hxYUJKbXJJcG9Zb1Nrb0I1QnNxOFZQ?oc=5,Google News RSS,,
Ambipar,2025-10-03 07:00:00,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.32,Ambipar raises concern amid FX swap dispute with Deutsche Bank - Valor International,https://news.google.com/rss/articles/CBMiygFBVV95cUxNc0hqR0w0dTRpRXhRbGtsMnJpbjhqaWN1MF9XVmI0Ykt2cmpyWlhmMTM0M184R0duRm9xUlh1MXJXTkR5dDlheWs2Q0wwUlRneE1EOXZMSXotemdqYWtuQVcwRXB1RkZEYldXUGNhRVlZcTRURExyTGczWDVoWXNPVjdzWW1PZDdnbzB4QWREX2tsUk9tWW1qY085Y0hSV2JlM1RJV2RTM3N2OVdiRXFhNTdsQU5vR2ZrN01CMmhqZlhUV1JLakQ5WGdn0gHYAUFVX3lxTFBQcWdqS1VvNW1mcEd1M0Z5UjNMQUZlVDV3Qk42VjVXTnphR3RMdXZKNDdHYzhoTEEwXzhtNEQ0WFlDQWMxdlNNa2VwN0F3YkwxTWFCN24yVjhQSXlNT1RwUV9uNmQ3MTFITTByMTQtZlM5RDFiUzlJdTFRZkFJYnozVjBhbFlrZ1Y3TWR6enprNmE2OVh2TWc1d0YzNEZ1bGtPVWpyTFhlUXdNY2JqUENFLURmWUVnRHAxUWRqLXN1SGtCUFlPRkN4SEdSS0xrX056UzJvdkc5SQ?oc=5,Google News RSS,,
Banco Master,2026-04-09 07:00:00,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.39,Brazil Banks Weigh Shifts to Insurance Fund After Banco Master - Bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxNUHliWUpGVWdsaGVEYVR4dlQ5cDk4b1A5Q3FjbVoyM3RNQlJxNWktVVc2UUxPcktldExPVzBDNklJYXZKNHhvVjlLT2FwM2dYLTNDUkRaOHc2bkc5eHdGSVl2Y0dCX0E4OUtBUFRCTmJqZHItTXBhZUZsemFtVVZYQ2ZzbkhrNGcyMkY4Uk9iVHJLTHdhdjRVdjIwQlBKdlN6ZU9za24xcmVRcm53NWk2NXZuYw?oc=5,Google News RSS,,
Banco Master,2026-03-05 08:00:00,2026-05-10T03:31:14.649865,news_signal,FINANCIAL_SYSTEM_RISK,5,1.0,"probe, central bank",CRITICAL_SIGNAL,CRITICAL_SIGNAL,CRITICAL_SIGNAL,CRITICAL_SIGNAL,0.71,Brazil rocked by probe of central bankers aiding failed Banco Master - Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxQeDVub0N0cFFFbmVLbEZWZmd5TUhBRjRKNmJXRDdLcFdEb2F0MXlHT2FzN2czc25EZVc5dGdHSTZZd2JzTmZmX251OHBYMmRxNUZDc0ttcVlhWTVyUDNMS0RVUU5LMHdRa0NfcFc5WnVyODcxTmx5cUVEcEVoelVvRnpTQzVQS2FuWVdfQkswUDBBU3FCNDhCcDYtVWlIWHlpMVUtSjlhQWpOWDBBR0puQ0RIREVaTDQ?oc=5,Google News RSS,Brazil's central bankers are under investigation for allegedly facilitating the collapse of failed bank Banco Master.,"Error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=60)"
Banco Master,2026-01-23 08:00:00,2026-05-10T03:31:14.649865,news_signal,LEGAL_REGULATORY,2,0.5,probe,WEAK_SIGNAL,WEAK_SIGNAL,WEAK_SIGNAL,CRITICAL_SIGNAL,0.37,Brazilian police target Rio pension fund as Banco Master probe grows - Pensions & Investments,https://news.google.com/rss/articles/CBMirwFBVV95cUxPMkk1MUlFMlNHbjhDczNLUUlRdEZMNkozUkI4dmNYVDVWcWpFOW9jeHlQOXZUbzNkZnY2dzBjU25QbWJVbllrdE0xMUw1bWJqcVVLWHVzUl9HTW1RcU5TeFJXbE1JZjIwRUFSZUdZVTFXZU52WXduQVRrTjdBVmhJNVdvMVU4elpHQ0tZNFZYalBibXhFaFNRaHNqRThrZW1hRDdHY1M0WXB6cFI2TVZv?oc=5,Google News RSS,,
Banco Master,2026-01-21 08:00:00,2026-05-10T03:31:14.649865,news_signal,FINANCIAL_SYSTEM_RISK,5,1.0,"fraud, probe",CRITICAL_SIGNAL,CRITICAL_SIGNAL,CRITICAL_SIGNAL,CRITICAL_SIGNAL,0.34,The Banco Master case: The $2 billion fraud probe that is shaking Brazil - EL PAÍS English,https://news.google.com/rss/articles/CBMixgFBVV95cUxPeWpsUWVaZVFCenlmZjNPcU92aWxvQkVIS1NQRS02SzIyY3lnQnVHd2tpS2t1N0JQZ2VGZnJlY0lsVTdBaEFsRnJWWVhmUy1NUENkbWhMekt1cWp5alpxRzF4RUtjbkNsbkZRdzNTcGxSREJBTGQ5WHh1M0QwbHQtblNaTzRTcm15U0ZkaUgxVkxaYkNGUVZzbmNHSVBVSXBVWGN2YUpROVFHdEl3N1RZWVQxZlNOMmJWTW5jY1dhd1M1dWlqLUHSAdoBQVVfeXFMTmlRMVJzdHhYRDg1aTE1dWJVcUFWcVpycm80Z3BBQkJRZXFZQ0tGTGlyR3NzbFoyMms1SjN3ZzdqcHJuWU9tdVJETXdxRllINkpyUm80WG9RZjhhazRWVHJzUEtuQngzSzFycXRHa2RoTThoUVlKbDVqRzdkNUpWRkF6RGhXcW1TS3Jxdk1pRXhhZUUxQ09uRzRIanFOaVFjZG5nandRamtEb0lDdDlJRFRnakNta1RqSmVjVUg3dHdMay1PdGJxZmt5LV93aVVMM3RrQm5UVTNIeWc?oc=5,Google News RSS,"A massive $2 billion fraud probe, known as the Banco Master case, is currently underway in Brazil.","This news article could represent a corporate risk for several reasons:

1. **Regulatory scrutiny**: The article mentions a $2 billion fraud probe, which suggests that the Brazilian authorities are investigating the bank's financial dealings. This level of regulatory attention can lead to increased scrutiny, fines, and reputational damage, all of which can impact the bank's bottom line.

2. **Reputation damage**: A large-scale fraud investigation like this one can tarnish a bank's reputation, making it harder for them to attract customers, investors, and talent in the future.

3. **Financial penalties**: If found guilty, Banco Master could face significant financial penalties, including fines, restitution, or even dissolution of the bank. These costs could be substantial and would likely have a negative impact on the bank's profitability.

4. **Impact on lending business**: A fraud probe can also raise questions about the bank's lending practices, which could lead to reduced lending volumes or stricter lending standards. This could negatively affect the bank's revenue and growth prospects.

5. **Investor confidence**: The news of a large-scale fraud investigation may impact investor confidence in Banco Master, leading to decreased stock prices, higher borrowing costs, or even a loss of investment.

6. **Systemic risk**: In Brazil, banks play a critical role in the country's financial system. A major bank like Banco Master is at the center of this investigation, which could have systemic implications for the entire financial sector, affecting the stability and confidence in the Brazilian economy.

Overall, the news article highlights the potential risks associated with corporate malfeasance, regulatory scrutiny, and reputational damage, all of which can impact a company's bottom line, growth prospects, and overall success."
Banco Master,2026-02-11 08:00:00,2026-05-10T03:31:14.649865,news_signal,GENERAL,1,0.2,,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,GENERAL_NEWS,0.4,Another collapse mirrors Banco Master’s playbook - Valor International,https://news.google.com/rss/articles/CBMitAFBVV95cUxQTEhXQlZMVTNkNHhwdlhyWm00WGNld0F6WFZmRW5LTDRaRzMxSTJzZllvSHVwdHk1TS1LZUswV2h5Zzk4T3EyV0FwV0E0aURHcW1VUmhuMFRBSWVMQVhYM3VWREVmRFo2aXBkOUZWZTl6R1FzbmpCYkJSVTFvakxCNExqWm5UQzVuREh0RnowZFJxV0ZTQU9JZnlJZDJYVDhFcHpLUV9zMllJNEpiNURJa3B6elTSAcMBQVVfeXFMTmxlcVFLeG05MDZ0WUMyUW81b3p2UzhZQ29vZlBudmdOcVAxaGZOYTVyTWNqYUJCUFVDMEZzUE1ENWlLUXpsYVpHdFJEeEpqR3hoU0s5THFmcnAyM29tQldBTXZoU25vdkZ4TU5PdjdxS3E5cjBTTERDZUNwbDhSUE15V3RmMGxEbE5xYnBUdmx3U2Q0MzZuSmZiYlBpNk5BU0hoMUxyeUlhZWN6eXlxd1J4UmJkZVVYQkZsT1VGMlRmd0lz?oc=5,Google News RSS,,
